snp1	snp2	prior
cyp3	cyp11	(2,2);
cyp4	cyp11	(2,2);
cyp5	cyp11	(2,2);
cyp6	cyp11	(2,2);
cyp7	cyp11	(2,2);
cyp8	cyp11	(2,2);
cyp9	cyp11	(2,2);
cyp10	cyp11	(2,2);
cyp12	cyp11	(2,2);
cyp13	cyp11	(2,2);
cyp14	cyp11	(2,2);
cyp2	cyp12	(2,2);
cyp3	cyp12	(2,2);
cyp4	cyp12	(2,2);
cyp5	cyp12	(2,2);
cyp6	cyp12	(2,2);
cyp7	cyp12	(2,2);
cyp8	cyp12	(2,2);
cyp9	cyp12	(2,2);
cyp10	cyp12	(2,2);
cyp11	cyp12	(2,2);
cyp13	cyp12	(2,2);
cyp14	cyp12	(2,2);
cyp2	cyp13	(2,2);
cyp3	cyp13	(2,2);
cyp4	cyp13	(2,2);
cyp5	cyp13	(2,2);
cyp6	cyp13	(2,2);
cyp7	cyp13	(2,2);
cyp8	cyp13	(2,2);
cyp9	cyp13	(2,2);
cyp10	cyp13	(2,2);
cyp11	cyp13	(2,2);
cyp12	cyp13	(2,2);
cyp14	cyp13	(2,2);
cyp2	cyp14	(2,2);
cyp3	cyp14	(2,2);
cyp4	cyp14	(2,2);
cyp5	cyp14	(2,2);
cyp6	cyp14	(2,2);
cyp7	cyp14	(2,2);
cyp8	cyp14	(2,2);
cyp9	cyp14	(2,2);
cyp10	cyp14	(2,2);
cyp11	cyp14	(2,2);
cyp12	cyp14	(2,2);
cyp13	cyp14	(2,2);
cyp4	cyp1	(3,3);
cyp5	cyp1	(3,3);
cyp6	cyp1	(3,3);
cyp7	cyp1	(3,3);
cyp8	cyp1	(3,3);
cyp9	cyp1	(3,3);
cyp10	cyp1	(3,3);
cyp11	cyp1	(3,3);
cyp12	cyp1	(3,3);
cyp13	cyp1	(3,3);
cyp14	cyp1	(3,3);
cyp1	cyp4	(3,3);
cyp5	cyp4	(3,3);
cyp6	cyp4	(3,3);
cyp7	cyp4	(3,3);
cyp8	cyp4	(3,3);
cyp9	cyp4	(3,3);
cyp10	cyp4	(3,3);
cyp11	cyp4	(3,3);
cyp12	cyp4	(3,3);
cyp13	cyp4	(3,3);
cyp14	cyp4	(3,3);
cyp1	cyp5	(3,3);
cyp4	cyp5	(3,3);
cyp6	cyp5	(3,3);
cyp7	cyp5	(3,3);
cyp8	cyp5	(3,3);
cyp9	cyp5	(3,3);
cyp10	cyp5	(3,3);
cyp11	cyp5	(3,3);
cyp12	cyp5	(3,3);
cyp13	cyp5	(3,3);
cyp14	cyp5	(3,3);
cyp1	cyp6	(3,3);
cyp4	cyp6	(3,3);
cyp5	cyp6	(3,3);
cyp7	cyp6	(3,3);
cyp8	cyp6	(3,3);
cyp9	cyp6	(3,3);
cyp10	cyp6	(3,3);
cyp11	cyp6	(3,3);
cyp12	cyp6	(3,3);
cyp13	cyp6	(3,3);
cyp14	cyp6	(3,3);
cyp1	cyp7	(3,3);
cyp4	cyp7	(3,3);
cyp5	cyp7	(3,3);
cyp6	cyp7	(3,3);
cyp8	cyp7	(3,3);
cyp9	cyp7	(3,3);
cyp10	cyp7	(3,3);
cyp11	cyp7	(3,3);
cyp12	cyp7	(3,3);
cyp13	cyp7	(3,3);
cyp14	cyp7	(3,3);
cyp1	cyp8	(3,3);
cyp4	cyp8	(3,3);
cyp5	cyp8	(3,3);
cyp6	cyp8	(3,3);
cyp7	cyp8	(3,3);
cyp9	cyp8	(3,3);
cyp10	cyp8	(3,3);
cyp11	cyp8	(3,3);
cyp12	cyp8	(3,3);
cyp13	cyp8	(3,3);
cyp14	cyp8	(3,3);
cyp1	cyp9	(3,3);
cyp4	cyp9	(3,3);
cyp5	cyp9	(3,3);
cyp6	cyp9	(3,3);
cyp7	cyp9	(3,3);
cyp8	cyp9	(3,3);
cyp10	cyp9	(3,3);
cyp11	cyp9	(3,3);
cyp12	cyp9	(3,3);
cyp13	cyp9	(3,3);
cyp14	cyp9	(3,3);
cyp1	cyp10	(3,3);
cyp4	cyp10	(3,3);
cyp5	cyp10	(3,3);
cyp6	cyp10	(3,3);
cyp7	cyp10	(3,3);
cyp8	cyp10	(3,3);
cyp9	cyp10	(3,3);
cyp11	cyp10	(3,3);
cyp12	cyp10	(3,3);
cyp13	cyp10	(3,3);
cyp14	cyp10	(3,3);
cyp1	cyp11	(3,3);
cyp4	cyp11	(3,3);
cyp5	cyp11	(3,3);
cyp6	cyp11	(3,3);
cyp7	cyp11	(3,3);
cyp8	cyp11	(3,3);
cyp9	cyp11	(3,3);
cyp10	cyp11	(3,3);
cyp12	cyp11	(3,3);
cyp13	cyp11	(3,3);
cyp14	cyp11	(3,3);
cyp1	cyp12	(3,3);
cyp4	cyp12	(3,3);
cyp5	cyp12	(3,3);
cyp6	cyp12	(3,3);
cyp7	cyp12	(3,3);
cyp8	cyp12	(3,3);
cyp9	cyp12	(3,3);
cyp10	cyp12	(3,3);
cyp11	cyp12	(3,3);
cyp13	cyp12	(3,3);
cyp14	cyp12	(3,3);
cyp1	cyp13	(3,3);
cyp4	cyp13	(3,3);
cyp5	cyp13	(3,3);
cyp6	cyp13	(3,3);
cyp7	cyp13	(3,3);
cyp8	cyp13	(3,3);
cyp9	cyp13	(3,3);
cyp10	cyp13	(3,3);
cyp11	cyp13	(3,3);
cyp12	cyp13	(3,3);
cyp14	cyp13	(3,3);
cyp1	cyp14	(3,3);
cyp4	cyp14	(3,3);
cyp5	cyp14	(3,3);
cyp6	cyp14	(3,3);
cyp7	cyp14	(3,3);
cyp8	cyp14	(3,3);
cyp9	cyp14	(3,3);
cyp10	cyp14	(3,3);
cyp11	cyp14	(3,3);
cyp12	cyp14	(3,3);
cyp13	cyp14	(3,3);
abc2	abc1	(4,4);
abc3	abc1	(4,4);
abc4	abc1	(4,4);
abc1	abc2	(4,4);
abc3	abc2	(4,4);
abc4	abc2	(4,4);
abc1	abc3	(4,4);
abc2	abc3	(4,4);
abc4	abc3	(4,4);
abc1	abc4	(4,4);
abc2	abc4	(4,4);
abc3	abc4	(4,4);
cyp2	abc1	(2,4);
cyp3	abc1	(2,4);
cyp4	abc1	(2,4);
cyp5	abc1	(2,4);
cyp6	abc1	(2,4);
cyp7	abc1	(2,4);
cyp8	abc1	(2,4);
cyp9	abc1	(2,4);
cyp10	abc1	(2,4);
cyp11	abc1	(2,4);
cyp12	abc1	(2,4);
cyp13	abc1	(2,4);
cyp14	abc1	(2,4);
cyp2	abc2	(2,4);
cyp3	abc2	(2,4);
cyp4	abc2	(2,4);
cyp5	abc2	(2,4);
cyp6	abc2	(2,4);
cyp7	abc2	(2,4);
cyp8	abc2	(2,4);
cyp9	abc2	(2,4);
cyp10	abc2	(2,4);
cyp11	abc2	(2,4);
cyp12	abc2	(2,4);
cyp13	abc2	(2,4);
cyp14	abc2	(2,4);
cyp2	abc3	(2,4);
cyp3	abc3	(2,4);
cyp4	abc3	(2,4);
cyp5	abc3	(2,4);
cyp6	abc3	(2,4);
cyp7	abc3	(2,4);
cyp8	abc3	(2,4);
cyp9	abc3	(2,4);
cyp10	abc3	(2,4);
cyp11	abc3	(2,4);
cyp12	abc3	(2,4);
cyp13	abc3	(2,4);
cyp14	abc3	(2,4);
cyp2	abc4	(2,4);
cyp3	abc4	(2,4);
cyp4	abc4	(2,4);
cyp5	abc4	(2,4);
cyp6	abc4	(2,4);
cyp7	abc4	(2,4);
cyp8	abc4	(2,4);
cyp9	abc4	(2,4);
cyp10	abc4	(2,4);
cyp11	abc4	(2,4);
cyp12	abc4	(2,4);
cyp13	abc4	(2,4);
cyp14	abc4	(2,4);
sul2	sul1	(5,5);
sul3	sul1	(5,5);
sul4	sul1	(5,5);
sul5	sul1	(5,5);
sul1	sul2	(5,5);
sul3	sul2	(5,5);
sul4	sul2	(5,5);
sul5	sul2	(5,5);
sul1	sul3	(5,5);
sul2	sul3	(5,5);
sul4	sul3	(5,5);
sul5	sul3	(5,5);
sul1	sul4	(5,5);
sul2	sul4	(5,5);
sul3	sul4	(5,5);
sul5	sul4	(5,5);
sul1	sul5	(5,5);
sul2	sul5	(5,5);
sul3	sul5	(5,5);
sul4	sul5	(5,5);
cyp2	sul1	(2,5);
cyp3	sul1	(2,5);
cyp4	sul1	(2,5);
cyp5	sul1	(2,5);
cyp6	sul1	(2,5);
cyp7	sul1	(2,5);
cyp8	sul1	(2,5);
cyp9	sul1	(2,5);
cyp10	sul1	(2,5);
cyp11	sul1	(2,5);
cyp12	sul1	(2,5);
cyp13	sul1	(2,5);
cyp14	sul1	(2,5);
cyp2	sul2	(2,5);
cyp3	sul2	(2,5);
cyp4	sul2	(2,5);
cyp5	sul2	(2,5);
cyp6	sul2	(2,5);
cyp7	sul2	(2,5);
cyp8	sul2	(2,5);
cyp9	sul2	(2,5);
cyp10	sul2	(2,5);
cyp11	sul2	(2,5);
cyp12	sul2	(2,5);
cyp13	sul2	(2,5);
cyp14	sul2	(2,5);
cyp2	sul3	(2,5);
cyp3	sul3	(2,5);
cyp4	sul3	(2,5);
cyp5	sul3	(2,5);
cyp6	sul3	(2,5);
cyp7	sul3	(2,5);
cyp8	sul3	(2,5);
cyp9	sul3	(2,5);
cyp10	sul3	(2,5);
cyp11	sul3	(2,5);
cyp12	sul3	(2,5);
cyp13	sul3	(2,5);
cyp14	sul3	(2,5);
cyp2	sul4	(2,5);
cyp3	sul4	(2,5);
cyp4	sul4	(2,5);
cyp5	sul4	(2,5);
cyp6	sul4	(2,5);
cyp7	sul4	(2,5);
cyp8	sul4	(2,5);
cyp9	sul4	(2,5);
cyp10	sul4	(2,5);
cyp11	sul4	(2,5);
cyp12	sul4	(2,5);
cyp13	sul4	(2,5);
cyp14	sul4	(2,5);
cyp2	sul5	(2,5);
cyp3	sul5	(2,5);
cyp4	sul5	(2,5);
cyp5	sul5	(2,5);
cyp6	sul5	(2,5);
cyp7	sul5	(2,5);
cyp8	sul5	(2,5);
cyp9	sul5	(2,5);
cyp10	sul5	(2,5);
cyp11	sul5	(2,5);
cyp12	sul5	(2,5);
cyp13	sul5	(2,5);
cyp14	sul5	(2,5);
cyp5	cyp4	(6,6);
cyp8	cyp4	(6,6);
cyp9	cyp4	(6,6);
cyp10	cyp4	(6,6);
cyp11	cyp4	(6,6);
cyp12	cyp4	(6,6);
cyp13	cyp4	(6,6);
cyp14	cyp4	(6,6);
cyp4	cyp5	(6,6);
cyp8	cyp5	(6,6);
cyp9	cyp5	(6,6);
cyp10	cyp5	(6,6);
cyp11	cyp5	(6,6);
cyp12	cyp5	(6,6);
cyp13	cyp5	(6,6);
cyp14	cyp5	(6,6);
cyp4	cyp8	(6,6);
cyp5	cyp8	(6,6);
cyp9	cyp8	(6,6);
cyp10	cyp8	(6,6);
cyp11	cyp8	(6,6);
cyp12	cyp8	(6,6);
cyp13	cyp8	(6,6);
cyp14	cyp8	(6,6);
cyp4	cyp9	(6,6);
cyp5	cyp9	(6,6);
cyp8	cyp9	(6,6);
cyp10	cyp9	(6,6);
cyp11	cyp9	(6,6);
cyp12	cyp9	(6,6);
cyp13	cyp9	(6,6);
cyp14	cyp9	(6,6);
cyp4	cyp10	(6,6);
cyp5	cyp10	(6,6);
cyp8	cyp10	(6,6);
cyp9	cyp10	(6,6);
cyp11	cyp10	(6,6);
cyp12	cyp10	(6,6);
cyp13	cyp10	(6,6);
cyp14	cyp10	(6,6);
cyp4	cyp11	(6,6);
cyp5	cyp11	(6,6);
cyp8	cyp11	(6,6);
cyp9	cyp11	(6,6);
cyp10	cyp11	(6,6);
cyp12	cyp11	(6,6);
cyp13	cyp11	(6,6);
cyp14	cyp11	(6,6);
cyp4	cyp12	(6,6);
cyp5	cyp12	(6,6);
cyp8	cyp12	(6,6);
cyp9	cyp12	(6,6);
cyp10	cyp12	(6,6);
cyp11	cyp12	(6,6);
cyp13	cyp12	(6,6);
cyp14	cyp12	(6,6);
cyp4	cyp13	(6,6);
cyp5	cyp13	(6,6);
cyp8	cyp13	(6,6);
cyp9	cyp13	(6,6);
cyp10	cyp13	(6,6);
cyp11	cyp13	(6,6);
cyp12	cyp13	(6,6);
cyp14	cyp13	(6,6);
cyp4	cyp14	(6,6);
cyp5	cyp14	(6,6);
cyp8	cyp14	(6,6);
cyp9	cyp14	(6,6);
cyp10	cyp14	(6,6);
cyp11	cyp14	(6,6);
cyp12	cyp14	(6,6);
cyp13	cyp14	(6,6);
cyp2	cyp4	(2,6);
cyp3	cyp4	(2,6);
cyp5	cyp4	(2,6);
cyp6	cyp4	(2,6);
cyp7	cyp4	(2,6);
cyp8	cyp4	(2,6);
cyp9	cyp4	(2,6);
cyp10	cyp4	(2,6);
cyp11	cyp4	(2,6);
cyp12	cyp4	(2,6);
cyp13	cyp4	(2,6);
cyp14	cyp4	(2,6);
cyp2	cyp5	(2,6);
cyp3	cyp5	(2,6);
cyp4	cyp5	(2,6);
cyp6	cyp5	(2,6);
cyp7	cyp5	(2,6);
cyp8	cyp5	(2,6);
cyp9	cyp5	(2,6);
cyp10	cyp5	(2,6);
cyp11	cyp5	(2,6);
cyp12	cyp5	(2,6);
cyp13	cyp5	(2,6);
cyp14	cyp5	(2,6);
cyp2	cyp8	(2,6);
cyp3	cyp8	(2,6);
cyp4	cyp8	(2,6);
cyp5	cyp8	(2,6);
cyp6	cyp8	(2,6);
cyp7	cyp8	(2,6);
cyp9	cyp8	(2,6);
cyp10	cyp8	(2,6);
cyp11	cyp8	(2,6);
cyp12	cyp8	(2,6);
cyp13	cyp8	(2,6);
cyp14	cyp8	(2,6);
cyp2	cyp9	(2,6);
cyp3	cyp9	(2,6);
cyp4	cyp9	(2,6);
cyp5	cyp9	(2,6);
cyp6	cyp9	(2,6);
cyp7	cyp9	(2,6);
cyp8	cyp9	(2,6);
cyp10	cyp9	(2,6);
cyp11	cyp9	(2,6);
cyp12	cyp9	(2,6);
cyp13	cyp9	(2,6);
cyp14	cyp9	(2,6);
cyp2	cyp10	(2,6);
cyp3	cyp10	(2,6);
cyp4	cyp10	(2,6);
cyp5	cyp10	(2,6);
cyp6	cyp10	(2,6);
cyp7	cyp10	(2,6);
cyp8	cyp10	(2,6);
cyp9	cyp10	(2,6);
cyp11	cyp10	(2,6);
cyp12	cyp10	(2,6);
cyp13	cyp10	(2,6);
cyp14	cyp10	(2,6);
cyp2	cyp11	(2,6);
cyp3	cyp11	(2,6);
cyp4	cyp11	(2,6);
cyp5	cyp11	(2,6);
cyp6	cyp11	(2,6);
cyp7	cyp11	(2,6);
cyp8	cyp11	(2,6);
cyp9	cyp11	(2,6);
cyp10	cyp11	(2,6);
cyp12	cyp11	(2,6);
cyp13	cyp11	(2,6);
cyp14	cyp11	(2,6);
cyp2	cyp12	(2,6);
cyp3	cyp12	(2,6);
cyp4	cyp12	(2,6);
cyp5	cyp12	(2,6);
cyp6	cyp12	(2,6);
cyp7	cyp12	(2,6);
cyp8	cyp12	(2,6);
cyp9	cyp12	(2,6);
cyp10	cyp12	(2,6);
cyp11	cyp12	(2,6);
cyp13	cyp12	(2,6);
cyp14	cyp12	(2,6);
cyp2	cyp13	(2,6);
cyp3	cyp13	(2,6);
cyp4	cyp13	(2,6);
cyp5	cyp13	(2,6);
cyp6	cyp13	(2,6);
cyp7	cyp13	(2,6);
cyp8	cyp13	(2,6);
cyp9	cyp13	(2,6);
cyp10	cyp13	(2,6);
cyp11	cyp13	(2,6);
cyp12	cyp13	(2,6);
cyp14	cyp13	(2,6);
cyp2	cyp14	(2,6);
cyp3	cyp14	(2,6);
cyp4	cyp14	(2,6);
cyp5	cyp14	(2,6);
cyp6	cyp14	(2,6);
cyp7	cyp14	(2,6);
cyp8	cyp14	(2,6);
cyp9	cyp14	(2,6);
cyp10	cyp14	(2,6);
cyp11	cyp14	(2,6);
cyp12	cyp14	(2,6);
cyp13	cyp14	(2,6);
abc2	abc1	(7,7);
abc3	abc1	(7,7);
abc4	abc1	(7,7);
abc8	abc1	(7,7);
abc9	abc1	(7,7);
abc10	abc1	(7,7);
cyp4	abc1	(7,7);
cyp5	abc1	(7,7);
cyp8	abc1	(7,7);
cyp9	abc1	(7,7);
cyp10	abc1	(7,7);
cyp11	abc1	(7,7);
cyp12	abc1	(7,7);
abc1	abc2	(7,7);
abc3	abc2	(7,7);
abc4	abc2	(7,7);
abc8	abc2	(7,7);
abc9	abc2	(7,7);
abc10	abc2	(7,7);
cyp4	abc2	(7,7);
cyp5	abc2	(7,7);
cyp8	abc2	(7,7);
cyp9	abc2	(7,7);
cyp10	abc2	(7,7);
cyp11	abc2	(7,7);
cyp12	abc2	(7,7);
abc1	abc3	(7,7);
abc2	abc3	(7,7);
abc4	abc3	(7,7);
abc8	abc3	(7,7);
abc9	abc3	(7,7);
abc10	abc3	(7,7);
cyp4	abc3	(7,7);
cyp5	abc3	(7,7);
cyp8	abc3	(7,7);
cyp9	abc3	(7,7);
cyp10	abc3	(7,7);
cyp11	abc3	(7,7);
cyp12	abc3	(7,7);
abc1	abc4	(7,7);
abc2	abc4	(7,7);
abc3	abc4	(7,7);
abc8	abc4	(7,7);
abc9	abc4	(7,7);
abc10	abc4	(7,7);
cyp4	abc4	(7,7);
cyp5	abc4	(7,7);
cyp8	abc4	(7,7);
cyp9	abc4	(7,7);
cyp10	abc4	(7,7);
cyp11	abc4	(7,7);
cyp12	abc4	(7,7);
abc1	abc8	(7,7);
abc2	abc8	(7,7);
abc3	abc8	(7,7);
abc4	abc8	(7,7);
abc9	abc8	(7,7);
abc10	abc8	(7,7);
cyp4	abc8	(7,7);
cyp5	abc8	(7,7);
cyp8	abc8	(7,7);
cyp9	abc8	(7,7);
cyp10	abc8	(7,7);
cyp11	abc8	(7,7);
cyp12	abc8	(7,7);
abc1	abc9	(7,7);
abc2	abc9	(7,7);
abc3	abc9	(7,7);
abc4	abc9	(7,7);
abc8	abc9	(7,7);
abc10	abc9	(7,7);
cyp4	abc9	(7,7);
cyp5	abc9	(7,7);
cyp8	abc9	(7,7);
cyp9	abc9	(7,7);
cyp10	abc9	(7,7);
cyp11	abc9	(7,7);
cyp12	abc9	(7,7);
abc1	abc10	(7,7);
abc2	abc10	(7,7);
abc3	abc10	(7,7);
abc4	abc10	(7,7);
abc8	abc10	(7,7);
abc9	abc10	(7,7);
cyp4	abc10	(7,7);
cyp5	abc10	(7,7);
cyp8	abc10	(7,7);
cyp9	abc10	(7,7);
cyp10	abc10	(7,7);
cyp11	abc10	(7,7);
cyp12	abc10	(7,7);
abc1	cyp4	(7,7);
abc2	cyp4	(7,7);
abc3	cyp4	(7,7);
abc4	cyp4	(7,7);
abc8	cyp4	(7,7);
abc9	cyp4	(7,7);
abc10	cyp4	(7,7);
cyp5	cyp4	(7,7);
cyp8	cyp4	(7,7);
cyp9	cyp4	(7,7);
cyp10	cyp4	(7,7);
cyp11	cyp4	(7,7);
cyp12	cyp4	(7,7);
abc1	cyp5	(7,7);
abc2	cyp5	(7,7);
abc3	cyp5	(7,7);
abc4	cyp5	(7,7);
abc8	cyp5	(7,7);
abc9	cyp5	(7,7);
abc10	cyp5	(7,7);
cyp4	cyp5	(7,7);
cyp8	cyp5	(7,7);
cyp9	cyp5	(7,7);
cyp10	cyp5	(7,7);
cyp11	cyp5	(7,7);
cyp12	cyp5	(7,7);
abc1	cyp8	(7,7);
abc2	cyp8	(7,7);
abc3	cyp8	(7,7);
abc4	cyp8	(7,7);
abc8	cyp8	(7,7);
abc9	cyp8	(7,7);
abc10	cyp8	(7,7);
cyp4	cyp8	(7,7);
cyp5	cyp8	(7,7);
cyp9	cyp8	(7,7);
cyp10	cyp8	(7,7);
cyp11	cyp8	(7,7);
cyp12	cyp8	(7,7);
abc1	cyp9	(7,7);
abc2	cyp9	(7,7);
abc3	cyp9	(7,7);
abc4	cyp9	(7,7);
abc8	cyp9	(7,7);
abc9	cyp9	(7,7);
abc10	cyp9	(7,7);
cyp4	cyp9	(7,7);
cyp5	cyp9	(7,7);
cyp8	cyp9	(7,7);
cyp10	cyp9	(7,7);
cyp11	cyp9	(7,7);
cyp12	cyp9	(7,7);
abc1	cyp10	(7,7);
abc2	cyp10	(7,7);
abc3	cyp10	(7,7);
abc4	cyp10	(7,7);
abc8	cyp10	(7,7);
abc9	cyp10	(7,7);
abc10	cyp10	(7,7);
cyp4	cyp10	(7,7);
cyp5	cyp10	(7,7);
cyp8	cyp10	(7,7);
cyp9	cyp10	(7,7);
cyp11	cyp10	(7,7);
cyp12	cyp10	(7,7);
abc1	cyp11	(7,7);
abc2	cyp11	(7,7);
abc3	cyp11	(7,7);
abc4	cyp11	(7,7);
abc8	cyp11	(7,7);
abc9	cyp11	(7,7);
abc10	cyp11	(7,7);
cyp4	cyp11	(7,7);
cyp5	cyp11	(7,7);
cyp8	cyp11	(7,7);
cyp9	cyp11	(7,7);
cyp10	cyp11	(7,7);
cyp12	cyp11	(7,7);
abc1	cyp12	(7,7);
abc2	cyp12	(7,7);
abc3	cyp12	(7,7);
abc4	cyp12	(7,7);
abc8	cyp12	(7,7);
abc9	cyp12	(7,7);
abc10	cyp12	(7,7);
cyp4	cyp12	(7,7);
cyp5	cyp12	(7,7);
cyp8	cyp12	(7,7);
cyp9	cyp12	(7,7);
cyp10	cyp12	(7,7);
cyp11	cyp12	(7,7);
cyp1	abc1	(3,7);
cyp4	abc1	(3,7);
cyp5	abc1	(3,7);
cyp6	abc1	(3,7);
cyp7	abc1	(3,7);
cyp8	abc1	(3,7);
cyp9	abc1	(3,7);
cyp10	abc1	(3,7);
cyp11	abc1	(3,7);
cyp12	abc1	(3,7);
cyp13	abc1	(3,7);
cyp14	abc1	(3,7);
cyp1	abc2	(3,7);
cyp4	abc2	(3,7);
cyp5	abc2	(3,7);
cyp6	abc2	(3,7);
cyp7	abc2	(3,7);
cyp8	abc2	(3,7);
cyp9	abc2	(3,7);
cyp10	abc2	(3,7);
cyp11	abc2	(3,7);
cyp12	abc2	(3,7);
cyp13	abc2	(3,7);
cyp14	abc2	(3,7);
cyp1	abc3	(3,7);
cyp4	abc3	(3,7);
cyp5	abc3	(3,7);
cyp6	abc3	(3,7);
cyp7	abc3	(3,7);
cyp8	abc3	(3,7);
cyp9	abc3	(3,7);
cyp10	abc3	(3,7);
cyp11	abc3	(3,7);
cyp12	abc3	(3,7);
cyp13	abc3	(3,7);
cyp14	abc3	(3,7);
cyp1	abc4	(3,7);
cyp4	abc4	(3,7);
cyp5	abc4	(3,7);
cyp6	abc4	(3,7);
cyp7	abc4	(3,7);
cyp8	abc4	(3,7);
cyp9	abc4	(3,7);
cyp10	abc4	(3,7);
cyp11	abc4	(3,7);
cyp12	abc4	(3,7);
cyp13	abc4	(3,7);
cyp14	abc4	(3,7);
cyp1	abc8	(3,7);
cyp4	abc8	(3,7);
cyp5	abc8	(3,7);
cyp6	abc8	(3,7);
cyp7	abc8	(3,7);
cyp8	abc8	(3,7);
cyp9	abc8	(3,7);
cyp10	abc8	(3,7);
cyp11	abc8	(3,7);
cyp12	abc8	(3,7);
cyp13	abc8	(3,7);
cyp14	abc8	(3,7);
cyp1	abc9	(3,7);
cyp4	abc9	(3,7);
cyp5	abc9	(3,7);
cyp6	abc9	(3,7);
cyp7	abc9	(3,7);
cyp8	abc9	(3,7);
cyp9	abc9	(3,7);
cyp10	abc9	(3,7);
cyp11	abc9	(3,7);
cyp12	abc9	(3,7);
cyp13	abc9	(3,7);
cyp14	abc9	(3,7);
cyp1	abc10	(3,7);
cyp4	abc10	(3,7);
cyp5	abc10	(3,7);
cyp6	abc10	(3,7);
cyp7	abc10	(3,7);
cyp8	abc10	(3,7);
cyp9	abc10	(3,7);
cyp10	abc10	(3,7);
cyp11	abc10	(3,7);
cyp12	abc10	(3,7);
cyp13	abc10	(3,7);
cyp14	abc10	(3,7);
cyp1	cyp4	(3,7);
cyp5	cyp4	(3,7);
cyp6	cyp4	(3,7);
cyp7	cyp4	(3,7);
cyp8	cyp4	(3,7);
cyp9	cyp4	(3,7);
cyp10	cyp4	(3,7);
cyp11	cyp4	(3,7);
cyp12	cyp4	(3,7);
cyp13	cyp4	(3,7);
cyp14	cyp4	(3,7);
cyp1	cyp5	(3,7);
cyp4	cyp5	(3,7);
