treeindex	node	theta.1	theta.2
1	3	0.063165266041556	0.503241279073072
2	3	1.3796073546112	0
3	4	0.958463480661546	0.0765226382147132
3	5	0.204782667490851	1.10681728044518
4	3	0.205867156574536	1.10794342567208
5	4	0.232528741987385	1.06728514442451
5	5	0.995592871822445	0.341722599943221
6	3	0.205867156574536	1.10794342567208
7	4	0.362367082983746	1.13630566517396
7	5	0.485282970368828	0.145106337729183
8	5	0.0144629543367625	0.950276864945326
8	6	0.361633655419183	0.178894845516195
8	7	1.02051056085895	0.981716319282041
9	4	0.0247426395551482	0.982381974348393
9	5	1.00607309444641	0.991224373895529
10	3	1.00759414688273	0.995389628539575
11	4	1.12370660805453	0.978108241266261
11	5	0.852494443539185	0.179233534942786
12	5	1.81972734069708	0.879567049119035
12	6	0.482822032320926	0.544550278091755
12	7	0.0382194274990367	0
13	6	1.82329861510337	0.887845531133697
13	7	0.479367492520528	0.551874842271186
13	8	0	0.0259583378033164
13	9	4.04779870169459	0.0567114082876814
14	5	1.81972734069708	0.879567049119035
14	6	0.482822032320926	0.544550278091755
14	7	0.0382194274990367	0
15	6	1.82329861510337	0.887845531133697
15	7	0.479367492520528	0.551874842271186
15	8	0	0.0259583378033164
15	9	4.04779870169459	0.0567114082876814
16	5	1.81972734069708	0.879567049119035
16	6	0.482822032320926	0.544550278091755
16	7	0.0382194274990367	0
17	6	1.8452207363609	0.889110153137353
17	7	0.483874986518105	0.546502398566194
17	8	0.00683117024269963	0
17	9	4.00826604204607	0
18	5	1.81972734069708	0.879567049119035
18	6	0.482822032320926	0.544550278091755
18	7	0.0382194274990367	0
19	6	1.79894262397201	0.851785505588415
19	7	0.48208551195455	0.542571525133822
19	8	0.0385831738968371	0
19	9	1.02249001278457	0.0932481635449232
20	6	1.81985696717409	0.880605176713308
20	7	0.482879678439992	0.544751505967927
20	8	0.0382074390528872	0
20	9	1.01377164124067	0
21	5	1.81972734069708	0.879567049119035
21	6	0.482822032320926	0.544550278091755
21	7	0.0382194274990367	0
22	6	1.8452207363609	0.889110153137353
22	7	0.483874986518105	0.546502398566194
22	8	0.00683117024269963	0
22	9	4.00826604204607	0
23	5	1.81972734069708	0.879567049119035
23	6	0.482822032320926	0.544550278091755
23	7	0.0382194274990367	0
24	6	1.82329861510337	0.887845531133697
24	7	0.479367492520528	0.551874842271186
24	8	0	0.0259583378033164
24	9	4.04779870169459	0.0567114082876814
25	5	1.81972734069708	0.879567049119035
25	6	0.482822032320926	0.544550278091755
25	7	0.0382194274990367	0
26	6	1.82329861510337	0.887845531133697
26	7	0.479367492520528	0.551874842271186
26	8	0	0.0259583378033164
26	9	4.04779870169459	0.0567114082876814
27	5	1.81972734069708	0.879567049119035
27	6	0.482822032320926	0.544550278091755
27	7	0.0382194274990367	0
28	6	1.82329861510337	0.887845531133697
28	7	0.479367492520528	0.551874842271186
28	8	0	0.0259583378033164
28	9	4.04779870169459	0.0567114082876814
29	5	1.81972734069708	0.879567049119035
29	6	0.482822032320926	0.544550278091755
29	7	0.0382194274990367	0
30	6	1.82329861510337	0.887845531133697
30	7	0.479367492520528	0.551874842271186
30	8	0	0.0259583378033164
30	9	4.04779870169459	0.0567114082876814
31	5	1.81972734069708	0.879567049119035
31	6	0.482822032320926	0.544550278091755
31	7	0.0382194274990367	0
32	6	1.8452207363609	0.889110153137353
32	7	0.483874986518105	0.546502398566194
32	8	0.00683117024269963	0
32	9	4.00826604204607	0
33	5	1.81972734069708	0.879567049119035
33	6	0.482822032320926	0.544550278091755
33	7	0.0382194274990367	0
34	6	1.8452207363609	0.889110153137353
34	7	0.483874986518105	0.546502398566194
34	8	0.00683117024269963	0
34	9	4.00826604204607	0
35	5	1.81972734069708	0.879567049119035
35	6	0.482822032320926	0.544550278091755
35	7	0.0382194274990367	0
36	6	1.82329861510337	0.887845531133697
36	7	0.479367492520528	0.551874842271186
36	8	0	0.0259583378033164
36	9	4.04779870169459	0.0567114082876814
37	5	1.81972734069708	0.879567049119035
37	6	0.482822032320926	0.544550278091755
37	7	0.0382194274990367	0
38	6	1.82329861510337	0.887845531133697
38	7	0.479367492520528	0.551874842271186
38	8	0	0.0259583378033164
38	9	4.04779870169459	0.0567114082876814
39	5	1.81972734069708	0.879567049119035
39	6	0.482822032320926	0.544550278091755
39	7	0.0382194274990367	0
40	6	1.82329861510337	0.887845531133697
40	7	0.479367492520528	0.551874842271186
40	8	0	0.0259583378033164
40	9	4.04779870169459	0.0567114082876814
41	5	1.81972734069708	0.879567049119035
41	6	0.482822032320926	0.544550278091755
41	7	0.0382194274990367	0
42	6	1.8452207363609	0.889110153137353
42	7	0.483874986518105	0.546502398566194
42	8	0.00683117024269963	0
42	9	4.00826604204607	0
43	5	1.81972734069708	0.879567049119035
43	6	0.482822032320926	0.544550278091755
43	7	0.0382194274990367	0
44	6	1.82329861510337	0.887845531133697
44	7	0.479367492520528	0.551874842271186
44	8	0	0.0259583378033164
44	9	4.04779870169459	0.0567114082876814
45	5	1.81972734069708	0.879567049119035
45	6	0.482822032320926	0.544550278091755
45	7	0.0382194274990367	0
46	6	1.82329861510337	0.887845531133697
46	7	0.479367492520528	0.551874842271186
46	8	0	0.0259583378033164
46	9	4.04779870169459	0.0567114082876814
47	5	1.81972734069708	0.879567049119035
47	6	0.482822032320926	0.544550278091755
47	7	0.0382194274990367	0
48	6	1.82329861510337	0.887845531133697
48	7	0.479367492520528	0.551874842271186
48	8	0	0.0259583378033164
48	9	4.04779870169459	0.0567114082876814
49	5	1.81972734069708	0.879567049119035
49	6	0.482822032320926	0.544550278091755
49	7	0.0382194274990367	0
50	6	1.82329861510337	0.887845531133697
50	7	0.479367492520528	0.551874842271186
50	8	0	0.0259583378033164
50	9	4.04779870169459	0.0567114082876814
51	5	1.81972734069708	0.879567049119035
51	6	0.482822032320926	0.544550278091755
51	7	0.0382194274990367	0
