i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
52	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.74692491225809	0.0725806451612903	-0.120096623576334
53	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-928.472123203437	1.5	-0.62892026834324
54	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-930.965858830108	1.5	-0.426163640250237
55	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.15661096771086	0.0725806451612903	-0.675203731646831
56	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-723.103976038993	1.5	-0.262514708849981
57	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-931.736410727294	1.5	-2.11479740073771
58	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.15661096771086	0.0725806451612903	-0.158094997653297
59	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-738.007898229689	1.5	-0.136628638356153
60	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.74692491225809	0.0725806451612903	-1.23596341972589
61	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-736.300342432298	1.5	-1.17023330838037
62	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-732.111037837587	1.5	-0.100264877643632
63	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.34239822848698	0.0725806451612903	-0.950593877684465
64	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-5.12199253313824	0.0725806451612903	-0.140945485917018
65	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-5.24411754946354	0.0725806451612903	-0.509249291992663
66	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	NA	1.5	-0.0698489258192434
67	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-6.4522010259237	0.0725806451612903	-1.6804988837119
68	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-732.111037837587	1.5	-0.0901312240420026
69	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-5.99398077049349	0.0725806451612903	-0.391992663764255
70	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-928.623618283973	1.5	-0.388897188489902
71	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-737.641288523594	1.5	-0.802973058585906
72	10	FALSE	1	0.5	-21545.4874314251	-21554.3068749699	-931.268038006793	1.5	-0.799966691300558
